name,console,genre,region,publisher,views,download,released,rate,site,link
WWF Attitude,Nintendo 64,sport,EU,Acclaim Sports,872,486,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/wwf-attitude-2.html
Goemon’s Great Adventure,Nintendo 64,"adventure,platformer",EU,Konami,"1,078",484,1998,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/goemons-great-adventure.html
Paperboy,Nintendo 64,"action,arcade",EU	,Midway,905,482,1999,4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/paperboy-3.html
Susume! Taisen Puzzle Dama Toukon! Marumata Chou,Nintendo 64,"action,arcade",JP,Konami,545,481,1998,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/susume-taisen-puzzle-dama-toukon-marumata-chou.html
Extreme-G XG2,Nintendo 64,racing,EU,Acclaim Entertainment,757,470,1998,5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/extreme-g-xg2.html
Micro Machines 64 Turbo,Nintendo 64,racing,EU,Midway,835,469,1999,4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/micro-machines-64-turbo.html
Transformers – Beast Wars Transmetal,Nintendo 64,action,US,Unknown,"1,100",469,Unknown,4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/transformers-beast-wars-transmetal.html
Hybrid Heaven,Nintendo 64,"action,adventure",EU,Konami,954,469,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/hybrid-heaven.html
Tonic Trouble,Nintendo 64,"action,adventure",EU,Ubisoft,901,464,1999,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/tonic-trouble.html
NBA Live 2000,Nintendo 64,sport,EU,Electronic Arts,920,463,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/nba-live-2000.html
Shadowgate 64 – Trials Of The Four Towers,Nintendo 64,"puzzle,role-playing",EU,Kemco,914,451,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/shadowgate-64-trials-of-the-four-towers.html
Snowboard Kids 2,Nintendo 64,sport,EU,Atlus,911,450,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/snowboard-kids-2.html
Ready 2 Rumble Boxing,Nintendo 64,"fighting,sport",EU,Midway,817,450,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/ready-2-rumble-boxing.html
Automobili Lamborghini,Nintendo 64,racing,EU,Titus Software Taito,799,432,1997,5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/automobili-lamborghini.html
Magical Tetris Challenge,Nintendo 64,"action,arcade",EU,Activision,753,431,1999,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/magical-tetris-challenge.html
Mace – The Dark Age,Nintendo 64,"arcade,fighting",EU,Midway,867,424,1997,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/mace-the-dark-age.html
Space Invaders,Nintendo 64,"action,arcade",US,Activision,989,420,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/space-invaders.html
Army Men – Air Combat,Nintendo 64,"action,adventure",US,The 3DO Company,805,416,2000,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/army-men-air-combat-2.html
Virtual Pool 64,Nintendo 64,sport,EU,Crave Entertainment,733,402,1998,1/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/virtual-pool-64.html
Cruis’n Exotica,Nintendo 64,racing,US,Midway,891,401,2000,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/cruisn-exotica.html
Top Gear Hyper Bike,Nintendo 64,racing,EU,Kemco,714,401,2000,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/top-gear-hyper-bike.html
Bio F.R.E.A.K.S.,Nintendo 64,"arcade,fighting",EU,Midway,708,397,1998,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/bio-f-r-e-a-k-s.html
AeroGauge,Nintendo 64,racing,EU,ASCII Entertainment,645,394,1997,4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/aerogauge.html
